"TIME","TYPE","AMOUNT","CATEGORY","ACCOUNT","NOTES" 
"Dec 21, 2022 1:49 PM","(+) Income","2581000.00","House Income","Daily Driver","gaji dari papah" 
"Dec 21, 2022 1:50 PM","(+) Income","500000.00","Gift","Daily Driver","uang beli pc dari papah" 
"Dec 21, 2022 1:52 PM","(+) Income","264000.00","Reimbursements","Daily Driver","tabungan jajan" 
"Dec 21, 2022 1:55 PM","(-) Expense","824000.00","Electronics","Daily Driver","minipc + ssd 120gb + mounting brackets and cables" 
"Dec 21, 2022 1:56 PM","(-) Expense","700000.00","Savings","Daily Driver","dana darurat" 
"Dec 21, 2022 2:36 PM","(-) Expense","4000.00","Admin fee","Daily Driver","admin" 
"Dec 21, 2022 4:39 PM","(-) Expense","50000.00","Food","Daily Driver","dana warkop" 
"Dec 22, 2022 8:45 AM","(-) Expense","25000.00","Gas","Daily Driver","shell" 
"Dec 22, 2022 3:06 PM","(+) Income","259000.00","Reimbursements","Daily Driver","uang dari dana jajan sama sisa saldo pluang" 
"Dec 22, 2022 3:06 PM","(-) Expense","262400.00","Electronics","Daily Driver","beli hdd" 
"Dec 22, 2022 3:09 PM","(*) Transfer","700000.00","  -  ","Daily Driver->Fun Funds","fun funds desember-januari" 
"Dec 22, 2022 11:10 PM","(+) Income","125000.00","Reimbursements","Daily Driver","uang jajan" 
"Dec 22, 2022 11:11 PM","(-) Expense","137000.00","Electronics","Daily Driver","processor dan ram" 
"Dec 23, 2022 8:58 AM","(-) Expense","34000.00","Electronics","Fun Funds","beli domain" 
"Dec 24, 2022 9:53 AM","(-) Expense","26000.00","Electronics","Daily Driver","beli kabel" 
"Dec 24, 2022 9:53 AM","(-) Expense","23000.00","Food","Daily Driver","ayam bang dava" 
"Dec 24, 2022 9:53 AM","(-) Expense","28000.00","Food","Daily Driver","wagrgot" 
"Dec 25, 2022 9:25 PM","(-) Expense","15000.00","Food","Daily Driver","wargot" 
"Dec 25, 2022 9:26 PM","(-) Expense","143000.00","Food","Daily Driver","Haloka makan minum" 
"Dec 25, 2022 9:26 PM","(-) Expense","83000.00","Food","Daily Driver","kubal dago" 
"Dec 25, 2022 9:26 PM","(+) Income","35000.00","Reimbursements","Daily Driver","kubal kansa" 
"Dec 25, 2022 9:36 PM","(-) Expense","100000.00","Food","Fun Funds","starbaks gres" 
"Dec 25, 2022 9:36 PM","(*) Transfer","143000.00","  -  ","Fun Funds->Daily Driver","haloka bdg" 
"Dec 26, 2022 8:14 AM","(-) Expense","20000.00","Food","Daily Driver","wargot" 
"Dec 26, 2022 8:48 AM","(-) Expense","14000.00","Food","Daily Driver","wargot" 
"Dec 26, 2022 11:48 PM","(-) Expense","15000.00","Food","Daily Driver","wargot" 
"Dec 26, 2022 11:48 PM","(-) Expense","19000.00","Food","Daily Driver","wargoy" 
"Dec 26, 2022 11:49 PM","(*) Transfer","20000.00","  -  ","Fun Funds->Daily Driver","" 
"Dec 26, 2022 11:50 PM","(-) Expense","8000.00","Food","Daily Driver","es kelapa" 
"Dec 26, 2022 11:50 PM","(-) Expense","8000.00","Food","Daily Driver","eskelapa" 
"Dec 27, 2022 11:25 PM","(*) Transfer","150000.00","  -  ","Daily Driver->Cash","" 
"Dec 27, 2022 11:25 PM","(-) Expense","75000.00","Utilities","Daily Driver","listrik" 
"Dec 27, 2022 11:26 PM","(+) Income","461000.00","Reimbursements","Daily Driver","binance" 
"Dec 27, 2022 11:26 PM","(-) Expense","36000.00","Food","Daily Driver","wargot" 
"Dec 27, 2022 11:27 PM","(*) Transfer","300000.00","  -  ","Daily Driver->Fun Funds","ganti dandar" 
"Dec 27, 2022 11:31 PM","(-) Expense","48000.00","Utilities","Cash","laundry" 
"Dec 27, 2022 11:31 PM","(-) Expense","36000.00","Engredients Shopping","Cash","kecap, saori 2" 
"Dec 27, 2022 11:37 PM","(-) Expense","38000.00","Electronics","Daily Driver","beli mymoney pro" 
"Dec 27, 2022 11:52 PM","(-) Expense","20000.00","Engredients Shopping","Cash","air" 
"Dec 28, 2022 9:40 AM","(-) Expense","41000.00","Food","Daily Driver","shopeepay" 
"Dec 28, 2022 2:17 PM","(-) Expense","26000.00","Food","Daily Driver","dana wargot" 
"Dec 28, 2022 2:18 PM","(-) Expense","15000.00","Utilities","Cash","laundry" 
"Dec 28, 2022 9:19 PM","(+) Income","800000.00","House Income","Daily Driver","uang pita" 
"Dec 29, 2022 2:17 PM","(+) Income","586000.00","Professional Income","Daily Driver","Upwork" 
"Dec 29, 2022 2:18 PM","(-) Expense","36000.00","Food","Daily Driver","shopeefood" 
"Dec 29, 2022 2:18 PM","(-) Expense","25000.00","Food","Daily Driver","wargot" 
"Dec 29, 2022 2:20 PM","(-) Expense","295000.00","Savings","Fun Funds","dana darurat" 
"Dec 30, 2022 11:59 AM","(-) Expense","14000.00","Food","Daily Driver","pak arie nitip darso" 
"Dec 30, 2022 12:00 PM","(+) Income","14000.00","Reimbursements","Cash","pak arie nitip darso" 
"Dec 30, 2022 1:28 PM","(-) Expense","50000.00","Food","Daily Driver","point coffee" 
"Dec 31, 2022 10:45 AM","(-) Expense","25100.00","Medicine","Daily Driver","chinstrap" 
"Jan 01, 2023 6:10 PM","(-) Expense","400000.00","Savings","Daily Driver","dana darurat" 
"Jan 01, 2023 6:11 PM","(-) Expense","25000.00","Medicine","Fun Funds","chinstrap tokped" 
"Jan 04, 2023 8:40 PM","(-) Expense","196000.00","Home Purchases","Daily Driver","parfum ruangan, porstex, tisu, pengering ruangan dsb" 
"Jan 04, 2023 8:41 PM","(-) Expense","200000.00","Engredients Shopping","Daily Driver","bahan makanan" 
"Jan 04, 2023 8:41 PM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Jan 04, 2023 8:43 PM","(-) Expense","30000.00","Medicine","Daily Driver","micelar water" 
"Jan 04, 2023 8:44 PM","(-) Expense","105000.00","cash out","Daily Driver","cash" 
"Jan 07, 2023 1:10 PM","(-) Expense","31000.00","Food","Daily Driver","makan" 
"Jan 10, 2023 12:42 PM","(-) Expense","50000.00","Gas","Daily Driver","shell trs bubat" 
"Jan 10, 2023 12:43 PM","(-) Expense","16000.00","Food","Fun Funds","mixue" 
"Jan 10, 2023 12:43 PM","(-) Expense","20000.00","Electronics","Fun Funds","subscription minimalist phone" 
"Jan 10, 2023 7:32 PM","(-) Expense","23000.00","Food","Fun Funds","wargot" 
"Jan 12, 2023 12:00 PM","(-) Expense","271000.00","Engredients Shopping","Daily Driver","" 
"Jan 12, 2023 12:01 PM","(-) Expense","54000.00","Food","Daily Driver","ws hotplate" 
"Jan 16, 2023 12:07 AM","(-) Expense","100000.00","cash out","Daily Driver","cash" 
"Jan 16, 2023 12:15 AM","(-) Expense","96500.00","Food","Daily Driver","ramen" 
"Jan 16, 2023 12:15 AM","(-) Expense","65000.00","Beauty","Daily Driver","collars potong rambut" 
"Jan 16, 2023 12:16 AM","(+) Income","30000.00","Reimbursements","Daily Driver","diganti khansa buat ramen" 
"Jan 16, 2023 8:09 PM","(-) Expense","42000.00","Food","Daily Driver","warkop dana" 
"Jan 16, 2023 8:11 PM","(*) Transfer","130000.00","  -  ","Fun Funds->Daily Driver","buat survive sampe akhir bulan" 
"Jan 22, 2023 11:04 AM","(-) Expense","273000.00","cash out","Daily Driver","" 
"Jan 22, 2023 11:05 AM","(-) Expense","194000.00","Food","Fun Funds","" 
"Jan 25, 2023 11:05 AM","(+) Income","2500000.00","House Income","Daily Driver","gaji dari pops" 
"Jan 25, 2023 11:06 AM","(+) Income","1500000.00","Gift","Fun Funds","hadiah ultah dari pops" 
"Jan 25, 2023 11:07 AM","(*) Transfer","1000000.00","  -  ","Daily Driver->Fun Funds","fun funds" 
"Jan 25, 2023 11:08 AM","(*) Transfer","500000.00","  -  ","Daily Driver->Fun Funds","dana darurat" 
"Jan 25, 2023 11:09 AM","(-) Expense","52500.00","Gift","Daily Driver","gift for pita" 
"Jan 25, 2023 8:18 PM","(-) Expense","232197.00","Engredients Shopping","Daily Driver","beras, minyak, susu ultra, sereal, kewpie, indomie goreng, jeruk nipis, roti gandum, sawi, kornet, soda kue, daun bawang" 
"Jan 25, 2023 8:20 PM","(-) Expense","173166.00","Home Purchases","Daily Driver","shampoo, serap air, sabut polytex, colokan listrik, bayclin, pewangi ruangan, rinso, masker, cotton bud" 
"Jan 25, 2023 8:27 PM","(-) Expense","31000.00","Utilities","Daily Driver","uang kebersihan kosan" 
"Jan 25, 2023 8:28 PM","(-) Expense","125000.00","Utilities","Daily Driver","electricity" 
"Jan 25, 2023 11:25 PM","(-) Expense","500000.00","Savings","Fun Funds","dana darurat" 
"Jan 26, 2023 7:55 PM","(+) Income","1494000.00","Professional Income","Fun Funds","momomedia" 
"Jan 26, 2023 7:55 PM","(-) Expense","250000.00","Gift","Fun Funds","hadiah buat mbazie" 
